id,sample-count,bioproject,secondary-accession,study-abstract,study-name,samples
MGYS00001194,210,PRJNA321051,SRP075039,"The gut microbiome plays an important role in normal immune function and has been implicated in several autoimmune disorders. Here we use high-throughput 16S rRNA sequencing to investigate the gut microbiome in subjects with multiple sclerosis (MS, n=61) and healthy controls (n=43). Alterations in the gut microbiome in MS include increases in the genera Methanobrevibacter and Akkermansia and decreases in Butyricimonas, and correlate with variations in the expression of genes involved in dendritic cell maturation, interferon signaling and NF-kB signaling pathways in circulating T cells and monocytes. Patients on disease-modifying treatment show increased abundances of the genera Prevotella and Sutterella, and decreased Sarcina, compared to untreated patients. MS patients of a second cohort show elevated breath methane compared to controls, consistent with our observation of increased gut Methanobrevibacter in MS in the first cohort. Further study is required to assess whether the observed alterations in the gut microbiome play a role in, or are a consequence of, MS pathogenesis.",Alterations of the human gut microbiome in multiple sclerosis,"SRS1435481,SRS1435483,SRS1435484,SRS1435485,SRS1435486,SRS1435487,SRS1435488,SRS1435489,SRS1435490,SRS1435491,SRS1435492,SRS1435493,SRS1435494,SRS1435495,SRS1435496,SRS1435497,SRS1435498,SRS1435499,SRS1435500,SRS1435501,SRS1435502,SRS1435503,SRS1435504,SRS1435505,SRS1435506"
MGYS00001071,43,PRJNA276631,SRP055567,,"16S rRNA profiling of ""Allergy"" and ""Healthy"" human faecal samples","SRS859025,SRS860032,SRS860033,SRS860034,SRS860035,SRS860036,SRS860037,SRS860039,SRS860040,SRS860041,SRS860042,SRS860049,SRS860055,SRS860056,SRS860057,SRS860058,SRS860059,SRS860061,SRS860062,SRS860063,SRS860064,SRS860456,SRS860457,SRS860458,SRS860459"
MGYS00004728,369,,SRP057027,"Dysbiosis in the human intestines, an alteration in the normal composition of the microbiota, characterizes a wide spectrum of diseases, such as infections, irritable bowel syndrome, Crohn's disease. Dysbiosis has been studied extensively but typically characterized cross-sectionally and as alterations in bacterial taxonomic proportions.  The longitudinal contributions of diet, antibiotic use, and inflammation on the evolution of dysbiosis during therapy for Crohn's disease have not been well characterized. Here we used shot-gun metagenomic sequencing of fecal samples collected from a longitudinal prospective cohort of pediatric Crohn's disease subjects to analyze the representation and gene content of all types of organisms present, including bacteria, fungi, archaea and viruses.  Patients initiated treated with either antibodies directed against tumor necrosis factor alpha or enteral nutrition per the treating physician.  Multivariate analysis showed that microbiome composition was associated with three environmental stressors--intestinal inflammation, antibiotic use, and diet.  Bacterial gene signatures suggested that communities in Crohn's samples were responding to oxidative stress. Antibiotic use was associated with a more dysbiotic composition of the bacterial microbiota as well as a distinctive increase in fungal organisms and human DNA content. In contrast, the abundance of tailed phage and archaea was similar in feces of children with Crohn's disease and healthy controls.  Composition of the bacterial and fungal communities were highly correlated. Dysbiosis in bacterial and fungal communities was reduced in patients with reduction of intestinal inflammation by either therapy. Diet had an independent and rapid effect on gut microbiota composition within one week of initiation. Evidently dysbiosis characteristic of Crohn's disease results in part from inflammation and antibiotic use, and involves correlated changes in bacterial and eukaryotic community members.  Notably, the three stressors were independently associated with different bacteria and different gene pathways, reflecting concurrent disruption of normal homeostasis by multiple mechanisms. Thus, while dysbiosis in general is common to multiple disease states, the nature of the dysbiosis is unique to the environmental stressor.","Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease","SRS899913,SRS899914,SRS899915,SRS899916,SRS899917,SRS899918,SRS899919,SRS899920,SRS899921,SRS899922,SRS899923,SRS899924,SRS899925,SRS899926,SRS899927,SRS899928,SRS899929,SRS899930,SRS899931,SRS899932,SRS899933,SRS899934,SRS899935,SRS899936,SRS899937"
MGYS00002480,53,PRJEB24497,ERP106326,"Metformin is a widely used first-line drug for treatment of type 2 diabetes. Despite its advantages metformin has variable therapeutic effects, contraindications, and side effects. Here, for the very first time, we investigate the short term effect of metformin on the composition of healthy human gut microbiota.",Association of metformin administration with gut microbiome dysbiosis in healthy volunteers,"ERS2575623,ERS2575624,ERS2575625,ERS2575626,ERS2575627,ERS2575628,ERS2575629,ERS2575630,ERS2575631,ERS2575632,ERS2575633,ERS2575634,ERS2575635,ERS2575636,ERS2575637,ERS2575638,ERS2575639,ERS2575640,ERS2575641,ERS2575642,ERS2575643,ERS2575644,ERS2575645,ERS2575646,ERS2575647"
MGYS00002207,104,PRJEB24843,ERP106702,"The risk of acquisition of multidrug-resistant Enterobacteriaceae (MRE) and of occurrence of diarrhea is particularly high when travelling to tropical regions, likely owing to suboptimal hygiene living conditions and uncontrolled antibiotic usage. To date, the link between MRE acquisition, traveller's diarrhoea and the microbiota composition in healthy people has not been addressed. Therefore, we analysed the composition of metabolically active microbiota by sequencing the total cDNA from faecal samples before and after the travelling.",The intestinal microbiota predisposes to the occurrence of traveller's diarrhoea and to the carriage of multidrug-resistant Enterobacteriaceae after travelling to tropical regions.,"ERS2181189,ERS2181190,ERS2181191,ERS2181192,ERS2181193,ERS2181194,ERS2181195,ERS2181196,ERS2181197,ERS2181198,ERS2181199,ERS2181200,ERS2181201,ERS2181202,ERS2181203,ERS2181204,ERS2181205,ERS2181206,ERS2181207,ERS2181208,ERS2181209,ERS2181210,ERS2181211,ERS2181212,ERS2181213"
MGYS00002081,110,PRJEB23524,ERP105282,"Fecal microbiota transplantation (FMT) is a treatment for microbiome-associated diseases in which gut microbiota are transferred from a healthy donor to a patient. Although the success of FMT requires donor bacteria to engraft in the patient's gut, the forces governing bacterial engraftment in humans are unknown. Here, we use a vast, ongoing clinical experiment - the treatment of recurrent Clostridium difficile infection with FMT - to uncover the rules of engraftment in humans. First, we built a machine learning model that accurately predicts which bacterial species will engraft in a given host. We then developed a maximum-likelihood strain inference method, Strain Finder, allowing us to infer the genotypes of donor strains and to track them through patients' guts over time. Surprisingly, engraftment could be predicted largely from the abundance and phylogeny of bacteria in the donor and the pre-FMT patient. We also found that donor strains within a species engraft in an all-or-nothing manner and that previously undetected strains frequently colonize the patient after FMT. We validated these findings in another disease context, metabolic syndrome, suggesting that the same principles of engraftment extend to other indications. These findings may guide the design of bacterial therapeutics that target diseases ranging from ulcerative colitis to cancer.",WGS data from FMT trial for the treatment of recurrent Clostridium difficile infection,"ERS2011663,ERS2011631,ERS2011729,ERS2011680,ERS2011643,ERS2011694,ERS2011706,ERS2011692,ERS2011682,ERS2011713,ERS2011636,ERS2011685,ERS2011702,ERS2011633,ERS2011674,ERS2011686,ERS2011733,ERS2011635,ERS2011720,ERS2011730,ERS2011650,ERS2011658,ERS2011722,ERS2011640,ERS2011666"
MGYS00002064,83,PRJEB23489,ERP105247,"Fecal microbiota transplantation (FMT) is a treatment for microbiome-associated diseases in which gut microbiota are transferred from a healthy donor to a patient. Although the success of FMT requires donor bacteria to engraft in the patient's gut, the forces governing bacterial engraftment in humans are unknown. Here, we use a vast, ongoing clinical experiment - the treatment of recurrent Clostridium difficile infection with FMT - to uncover the rules of engraftment in humans. First, we built a machine learning model that accurately predicts which bacterial species will engraft in a given host. We then developed a maximum-likelihood strain inference method, Strain Finder, allowing us to infer the genotypes of donor strains and to track them through patients' guts over time. Surprisingly, engraftment could be predicted largely from the abundance and phylogeny of bacteria in the donor and the pre-FMT patient. We also found that donor strains within a species engraft in an all-or-nothing manner and that previously undetected strains frequently colonize the patient after FMT. We validated these findings in another disease context, metabolic syndrome, suggesting that the same principles of engraftment extend to other indications. These findings may guide the design of bacterial therapeutics that target diseases ranging from ulcerative colitis to cancer.",16S data from FMT trial for the treatment of recurrent Clostridium difficile infection,"ERS2008779,ERS2008780,ERS2008781,ERS2008782,ERS2008783,ERS2008784,ERS2008785,ERS2008786,ERS2008787,ERS2008788,ERS2008789,ERS2008790,ERS2008791,ERS2008792,ERS2008793,ERS2008794,ERS2008795,ERS2008796,ERS2008797,ERS2008798,ERS2008799,ERS2008800,ERS2008801,ERS2008802,ERS2008803"
MGYS00002027,1,PRJEB22505,ERP104186,The Impact of cefprozil on the gut microbiome of healthy individuals Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB8094. This project includes samples from the following biomes : Human gut.,EMG produced TPA metagenomics assembly of the The initial state of the human gut microbiome determines its reshaping by antibiotics (Impact of cefprozil on the gut microbiome of healthy individuals) data set,ERS634924
MGYS00001991,3,PRJEB23207,ERP104944,"The human intestinal microbiota is a homeostatic ecosystem with a remarkable impact on human health and the disruption of this equilibrium leads to an increased susceptibility to infection by numerous pathogens. In this study, we used shotgun metagenomic sequencing and two different bioinformatics approaches, to investigate possible changes in the composition of the intestinal microbiota in samples from patients with STEC infection compared to healthy and healed controls, collected during an outbreak caused by a STEC O26:H11 infection. Regardless of the bioinformatic procedure used, a good resolution of the taxonomic profiles of the samples was achieved. The faeces collected from the STEC infected patients showed a lower intestinal abundance of the beneficial microorganisms Bifidobacterium and Clostridiales spp. in comparison to controls where those microorganisms predominated. These differences were observed with both bioinformatic approaches used and seemed to be related with the STEC infection although the variation in the relative abundance of the members of the Bifidobacterium genus could have also been associated with the dysbiotic status following the diarrhoea.Finally, the metagenomic sequencing allowed to identify in the STEC positive samples, all the virulence traits present in the genomes of the STEC O26 that caused the outbreak. The results shown represent a first evidence of the changes occurring in the intestinal microbiota of children in the course of STEC infection and indicate that metagenomics may be a promising tool for the culture-independent clinical diagnosis of the infection.",Metagenomic characterization of the human intestinal microbiota in faecal samples from STEC-infected patients,"ERS1984552,ERS1984650,ERS1984672"
MGYS00001809,712,PRJEB21196,ERP023432,"Background: Early life colonization of the intestinal tract is a dynamic process influenced by numerous factors. The impact of probiotic-supplemented infant formula on the composition and function of the infant gut microbiota is not well defined. Objective:To determine the effect of a bifidobacteria-containing formula on the healthy human intestinal microbiome during the first year of life.Design: Double-blinded, randomized and placebo-controlled study with newborn infants assigned to a standard whey-based formula containing a total of 10(8) cfu/g of Bifidobacterium bifidum, B. breve, B. longum, B. longum subsp. infantis (intervention), or to control formula without bifidobacteria (placebo). Breast-fed controls were included. Diversity and composition of fecal microbiota were determined by 16S rRNA gene amplicon sequencing and metabolite profiles were analysed by UHP-LC mass spectrometry over a period of two years. Results: One hundred six infants were randomized to the interventional (n=48) or placebo (n=49) group; 9 infants were solely breast-fed throughout the entire intervention period of 12 months. Infants exposed to bifidobacteria-supplemented formula showed decreased occurrence of Bacteroides and Blautia spp. associated  with changes in lipids and unknown metabolites at month 1. Microbiota and metabolite profiles converged during the intervention period and long-term colonization (24 months) of the supplemented Bifidobacterium strains was not detected. Significant differences in microbiota and metabolites were detected between infants fed by breast or formula (p<0.005) and between infants born by vaginal and caesarean birth (p<0.005). No significant differences were observed between infant feeding groups regarding growth, antibiotic uptake, or other health variables (p>0.05).Conclusions: The supplementation of bifidobacteria to infant diet can modulate the occurrence of specific bacteria and metabolites during early life with no detectable long-term effects.",Randomized controlled trial on the impact of early live intervention with bifidobacteria on the healthy infant fecal microbiota and metabolite profile,"ERS1779219,ERS1779220,ERS1779221,ERS1779222,ERS1779223,ERS1779224,ERS1779225,ERS1779226,ERS1779227,ERS1779228,ERS1779229,ERS1779230,ERS1779231,ERS1779232,ERS1779233,ERS1779234,ERS1779235,ERS1779236,ERS1779237,ERS1779238,ERS1779239,ERS1779240,ERS1779241,ERS1779242,ERS1779243"
MGYS00001748,768,PRJEB6358,ERP005883,"Given the global burden of diarrheal diseases, it is important to understand how members of the gut microbiota affect the risk for, the course of, and recovery from disease.  This is true for young children when the gut microbiota is being assembled, as well as for adults.  Recent culture-independent analyses of the fecal microbiota of healthy Bangladeshi infants and children, sampled monthly from birth through the second year of life, have identified a group of age-discriminatory bacterial taxa that together define a normal program of postnatal development (maturation) of the gut microbiota. The acute voluminous diarrhea caused by Vibrio cholerae represents a dramatic example of enteropathogen invasion and gut microbial community disruption.  We have conducted a detailed time-series metagenomic study of the fecal microbiota during the acute diarrheal and recovery phases of cholera in a cohort of Bangladeshi adults living in an area with a very high burden of disease. Recovery is characterized by a pattern of accumulation of bacterial taxa that mirrors the normal pattern of assembly/maturation of the microbiota in healthy Bangladeshi children. To define underlying mechanisms, we created an artificial community of 14 sequenced human gut bacterial species in gnotobiotic mice, composed of taxa that directly correlate with recovery from cholera and that are indicative of normal microbiota maturation in healthy Bangladeshi children. One of these age-discriminatory species, Ruminococcus obeum, exhibited consistent increases in its relative abundance upon V. cholerae infection of the mice. Follow-up mono- and bi-colonization studies established that R. obeum restricts V. cholerae colonization. RNA-Seq of the community's meta-transcriptome, combined with assays of autoinducer-2 (AI-2) production and function, revealed that expression of R. obeum luxS (AI-2 synthase) and AI-2 production increase significantly with V. cholerae invasion, and that R. obeum AI-2 causes quorum-sensing mediated repression of toxin co-regulated pilus, a primary V. cholerae colonization factor. Co-colonization experiments in gnotobiotic mice established that R. obeum AI-2 reduces Vibrio colonization/pathogenicity through a novel pathway that does not depend on the canonical V. cholerae AI-2 sensor, LuxP.","Effects of cholera on the human gut microbiota, and interactions between human gut microbes and Vibrio cholerae.","ERS465237,ERS465238,ERS465239,ERS465240,ERS465241,ERS465242,ERS465243,ERS465244,ERS465245,ERS465246,ERS465247,ERS465248,ERS465249,ERS465250,ERS465251,ERS465252,ERS465253,ERS465254,ERS465255,ERS465256,ERS465257,ERS465258,ERS465259,ERS465260,ERS465261"
MGYS00001537,28,PRJEB19367,ERP021378,Analysis of stool samples from sickle cell disease patients and healthy controls,Analysis of stool samples from sickle cell disease patients and healthy controls,"ERS1546031,ERS1546032,ERS1546033,ERS1546034,ERS1546035,ERS1546036,ERS1546037,ERS1546038,ERS1546039,ERS1546040,ERS1546041,ERS1546042,ERS1546043,ERS1546044,ERS1546045,ERS1546046,ERS1546047,ERS1546048,ERS1546049,ERS1546050,ERS1546051,ERS1546052,ERS1546053,ERS1546054,ERS1546055"
MGYS00001442,15,PRJEB19090,ERP021080,"Gut microbiome research is rapidly moving towards the functional characterization of the microbiota by means of shotgun meta-omics. Here, we selected a cohort of healthy subjects from an indigenous and monitored Sardinian population to analyze their gut microbiota using both shotgun metagenomics and shotgun metaproteomics. We found a considerable divergence between genetic potential and functional activity of the human healthy gut microbiota, in spite of a quite comparable taxonomic structure revealed by the two approaches. Investigation of inter-individual variability of taxonomic features revealed Bacteroides and Akkermansia as remarkably conserved and variable in abundance within the population, respectively. Firmicutes-driven butyrogenesis (mainly due to Faecalibacterium spp.) was shown to be the functional activity with the higher expression rate and the lower inter-individual variability in the study cohort, highlighting the key importance of the biosynthesis of this microbial by-product for the gut homeostasis. The taxon-specific contribution to functional activities and metabolic tasks was also examined, giving insights into the peculiar role of several gut microbiota members in carbohydrate metabolism (including polysaccharide degradation, glycan transport, glycolysis and short-chain fatty acid production). In conclusion, our results provide useful indications regarding the main functions actively exerted by the gut microbiota members of a healthy human cohort, and support metaproteomics as a valuable approach to investigate the functional role of the gut microbiota in health and disease.",Potential and active functions in the gut microbiota of a healthy human cohort,"ERS1509319,ERS1509315,ERS1509321,ERS1509326,ERS1509327,ERS1509320,ERS1509317,ERS1509324,ERS1509328,ERS1509318,ERS1509323,ERS1509316,ERS1509325,ERS1509329,ERS1509322"
MGYS00001280,88,PRJEB13092,ERP014628,"Gastrointestinal disturbances are among the cluster of symptoms commonly reported by individuals diagnosed with ME/CFS (Myalgic Encephalomyelitis/Chronic Fatigue Syndrome), who are also often reported to exhibit altered plasma cytokine profiles. In plasma of ME/CFS patients (n=48) and healthy controls (n=39), we examined a set of inflammatory markers: C-reactive protein (CRP), Intestinal Fatty Acid Binding Protein (I-FABP), lipopolysaccharide (LPS), LPS binding protein (LBP), and soluble CD14 (sCD14).  Levels of LPS, LBP, and sCD14 were elevated in ME/CFS subjects.  Levels of LBP were correlated with LPS and sCD14 and LPS levels correlated with sCD14. We examined the gut microbiota by 16S rRNA sequencing. We observed that bacterial diversity was decreased in the ME/CFS specimens compared to controls, in particular a reduction in the relative abundance and diversity of Firmicutes.  The ME/CFS samples also exhibited an increase in the pro-inflammatory family Enterobacteriaceae and decrease in the anti-inflammatory Ruminococcaceae, including Faecalibacterium, and reduced amounts of beneficial Bifidobacterium species.  Using a machine learning approach, individuals were classified correctly as ME/CFS with an average success rate of 0.8928.  Our results indicate dysbiosis of the gut microbiota in this disease and further suggest an increased incidence of microbial translocation, which may play a role in inflammatory symptoms.",Reduced diversity and altered composition of the gut microbiome in individuals with Myalgic Encephalomyelitis/ChronicFatigue Syndrome,"ERS1091249,ERS1091250,ERS1091251,ERS1091252,ERS1091253,ERS1091254,ERS1091255,ERS1091256,ERS1091257,ERS1091258,ERS1091259,ERS1091260,ERS1091261,ERS1091262,ERS1091263,ERS1091264,ERS1091265,ERS1091266,ERS1091267,ERS1091268,ERS1091269,ERS1091270,ERS1091271,ERS1091272,ERS1091273"
MGYS00001279,158,PRJEB11199,ERP012549,"The aim of this study was to study i) to what extend the microbiota of AN is perturbed in comparison to NW and ii) whether these perturbations are recovered after weight gain and/or normalisation of eating behaviour. In this study we have comprehensively analysed the gut microbiota (by sequencing of the V4 region of the 16S rRNA gene using MiSeq PE250) and short-chain fatty-acids (SCFA) profile in stool samples of AN patients ahead (n=55) and after weight gain (n=44) in comparison to normal-weight participants matched for age and gender (NW, n=55).",Microbiota composition in Anorexia Nervosa patients before and after weight gain as compared to healthy controls,"ERS986888,ERS986889,ERS986890,ERS986891,ERS986892,ERS986893,ERS986894,ERS986895,ERS986896,ERS986897,ERS986898,ERS986899,ERS986900,ERS986901,ERS986902,ERS986903,ERS986904,ERS986905,ERS986906,ERS986907,ERS986908,ERS986909,ERS986910,ERS986911,ERS986912"
MGYS00001252,157,PRJNA306884,SRP067761,"Colonic bacteria produce the health-promoting metabolite butyrate. We sought to influence butyrate production in 20 healthy adults by supplementing their diet with resistant starch (RS). While average fecal butyrate increased from 8 to 12 mmol/kg wet feces, responses varied widely between individuals. Three types of responses were categorized: enhanced, high, and low (n = 11, 3, and 6 respectively). Fecal butyrate increased by 87% in the enhanced group, while it remained =12 mmol/kg in the high group and =8 mmol/kg in the low group. Microbiome analyses revealed that RS-degrading organisms increased from ~ 2 to 10% in the enhanced and high groups, but remained at ~ 2% in the low group. This lack of increase in RS-degrading microbes is likely why individuals in the low group do not benefit in butyrate with RS. This study underscores the importance of understanding inter-individual variability in managing ecosystem services from microbiomes.",Managing human microbiomes: Explaining heterogeneous responses in butyrate to dietary supplementation with resistant starch,"SRS1223284,SRS1223289,SRS1223290,SRS1223291,SRS1223292,SRS1223293,SRS1223294,SRS1223295,SRS1223296,SRS1223297,SRS1223298,SRS1223299,SRS1223300,SRS1223301,SRS1223302,SRS1223303,SRS1223304,SRS1223305,SRS1223306,SRS1223307,SRS1223308,SRS1223309,SRS1223310,SRS1223311,SRS1223312"
MGYS00001175,72,PRJEB8094,ERP009131,"The human gut microbiota is affected by antibiotics, but the heterogeneous response between individuals remains unexplored. To specifically address this question and examine the effect of antibiotics on selection of resistance genes, we administered the second-generation cephalosporin cefprozil to healthy volunteers. Stool samples gathered before antibiotic exposure, at the end of the treatment and three months later were analyzed using shotgun metagenomic sequencing. We show that normal antibiotic treatment can alter the gut microbiome in a specific, reproducible and predictable fashion. Strikingly, we identified a subgroup of participants that were enriched in opportunistic pathogen Enterobacter cloacae after exposure to the antibiotic, an effect linked to lower initial microbiome diversity and to the Bacteroides enterotype. Resistance genes that were not detectable before the treatment were observed after a 7-day course of antibiotic. Knowledge of the initial composition of the microbiome could assist in the prevention of the adverse effects of antibiotics.",The initial state of the human gut microbiome determines its reshaping by antibiotics,"ERS634967,ERS634947,ERS634915,ERS634960,ERS634959,ERS634914,ERS634930,ERS634916,ERS634948,ERS634940,ERS634973,ERS634952,ERS634926,ERS634975,ERS634969,ERS634977,ERS634936,ERS634943,ERS634957,ERS634932,ERS634954,ERS634965,ERS634929,ERS634958,ERS634924"
MGYS00000277,19,PRJNA46321,SRP002423,"Inflammatory bowel diseases (IBD), such as Crohn’s disease, are chronic, immunologically mediated disorders that have severe medical consequences. The current hypothesis is that these diseases are due to an overly aggressive immune response to a subset of commensal enteric bacteria. Studies to date on IBD have suggested that the disorder may be caused by a combination of bacteria and host susceptibility; however the etiologies of these diseases remain an enigma.  In this application, we propose to develop and demonstrate the ability to profile Crohn’s disease at an unprecedented molecular level by elucidation of specific biomarkers (bacterial strains, genes, or proteins) that correlate to disease symptoms. To achieve this goal, we will employ a multidisciplinary approach based on metagenomic and metaproteomic molecular tools to elucidate the composition of the commensal microbiota in monozygotic twins that are either healthy or exhibit Crohn’s disease (for concordant, both are diseased; for discordant, one is healthy and one is diseased).  The central hypotheses of this proposal are (1) that specific members and/or functional activities of the gastrointestinal (GI) microbiota differ in patients with Crohn’s disease as compared to healthy individuals, and (2) that it will be possible to elucidate microbial signatures which correlate with the occurrence and progression of this disease by integration of data obtained from 16S rRNA-based molecular fingerprinting, metagenomics, and metaproteomics approaches. To address these hypotheses, three specific aims are proposed: 1) Obtain data on community gene content (metagenome) in a subset of healthy twins and twins with Crohn’s Disease to assess potential differences in the metabolic capabilities of the gut microbiota associated with CD, 2) Obtain data on community protein content (metaproteome) in a subset of healthy twins and twins with Crohn’s Disease to assess the state of expressed proteins associated with CD, 3) Apply various statistical clustering and classification methods to correlate/associate microbial community composition, gene and protein content with patient metadata, including metabolite profiles and clinical phenotype.  The ultimate goal of these efforts is to identify novel biomarkers for non-invasive diagnostics of CD and to eventually identify drug targets (i.e. bacterial strains) for cure or suppression of disease symptoms.  PUBLIC HEALTH RELEVANCE: This study aims to unravel the contribution of the bacteria that normally inhabit the human gastrointestinal tract to Crohn’s disease by using a multidisciplinary approach to study changes in the structure and function of gut microbial communities in three sets of patient cohorts who have Crohn’s disease. These results will be compared with those obtained from the study of healthy individuals and have the potential to identify new biomarkers of disease severity, location, and progression.",Human Gut Microbiome in Crohn's Disease,"SRS070510,SRS070511,SRS070519,SRS070520,SRS070521,SRS070522,SRS070523,SRS070524,SRS070525,SRS070526,SRS070527,SRS070528,SRS070529,SRS070530,SRS070532,SRS070533,SRS070534,SRS070535,SRS070536"
MGYS00000278,17,,SRP002437,"The colonization process of the infant gut microbiome has been called chaotic, but this view could reflect insufficient documentation of the factors affecting the microbiome. We performed a 2.5-year case study of the assembly of the human infant gut microbiome to relate life events to microbiome composition and function. Sixty fecal samples were collected from a healthy infant along with a diary of diet and health status. Analysis of >300,000 16S rRNA genes indicated that the phylogenetic diversity of the microbiome increased gradually over time and that changes in community composition conformed to a smooth temporal gradient. In contrast, major taxonomic groups showed abrupt shifts in abundance corresponding to changes in diet or health. Community assembly was nonrandom: we observed discrete steps of bacterial succession punctuated by life events. Furthermore, analysis of ~500,000 DNA metagenomic reads from 12 fecal samples revealed that the earliest microbiome was enriched in genes facilitating lactate utilization, and that functional genes involved in plant polysaccharide metabolism were present prior to the introduction of solid food, priming the infant gut for an adult diet. However, ingestion of table foods caused a sustained increase in the abundance of Bacteroidetes, elevated fecal short chain fatty acid levels, enrichment of genes associated with carbohydrate utilization, vitamin biosynthesis and xenobiotic degradation, and a more stable community composition, all of which are characteristic of the adult microbiome. This study revealed that seemingly chaotic shifts in the microbiome could be attributed to life events.",Developing infant gut microbiome,"SRS086433,SRS086434,SRS086435,SRS086436,SRS086437,SRS086439,SRS086441,SRS086442,SRS086443,SRS086444,SRS086438,SRS086440,SRS086445,SRS086446,SRS086447,SRS086448,SRS086449"
MGYS00000294,12,PRJEB2778,ERP001038,"Ongoing efforts are directed at understanding the mutualism between the gut microbiota and the host in breast-fed versus formula-fed infants. Due to the lack of tissue biopsies, no investigators have performed a global transcriptional analysis of the developing intestine in healthy infants. As a result, the crosstalk between the microbiome and the host transcriptome in the developing mucosal-commensal environment has not been determined. In this study, we examined the host intestinal mRNA gene expression and microbial DNA profiles in full term 3 month-old infants exclusively formula fed (FF; n=6) or breast fed (BF; n=6) from birth to 3 months. Host mRNA microarray measurements were performed on intact sloughed epithelial cells in stool samples collected at 3 months. Microbial composition from the same stool samples was assessed by metagenomic pyrosequencing. Both host mRNA expression and bacterial microbiome phylogenetic profiles provided strong feature sets that classified the two groups of babies (FF and BF). To determine the relationship between epithelial cell gene expression and the bacterial colony profiles, the host transcriptome and functionally profiled microbiome data were analyzed in a multivariate manner. From a functional perspective, analysis of the gut microbiota's metagenome revealed that virulence characteristics differed between the FF and BF babies. Using canonical correlation analysis, evidence of multivariate structure relating eleven host immunity/mucosal defense-related genes and microbiome virulence characteristics was observed. These results, for the first time, provide insight into the integrated responses of the host and microbiome to dietary substrates in the early neonatal period.In this study, we examined the host intestinal mRNA gene expression and microbial DNA profiles in full term 3 month-old infants exclusively formula fed (FF; n=6) or breast fed (BF; n=6) from birth to 3 months. Host mRNA microarray measurements were performed on intact sloughed epithelial cells in stool samples collected at 3 months. Microbial composition from the same stool samples was assessed by metagenomic pyrosequencing. Both host mRNA expression and bacterial microbiome phylogenetic profiles provided strong feature sets that classified the two groups of babies (FF and BF). To determine the relationship between epithelial cell gene expression and the bacterial colony profiles, the host transcriptome and functionally profiled microbiome data were analyzed in a multivariate manner. From a functional perspective, analysis of the gut microbiota's metagenome revealed that virulence characteristics differed between the FF and BF babies. Using canonical correlation analysis, evidence of multivariate structure relating eleven host immunity/mucosal defense-related genes and microbiome virulence characteristics was observed. These results, for the first time, provide insight into the integrated responses of the host and microbiome to dietary substrates in the early neonatal period.",Mutualism between gut microbiota and the host as revealed in a comparative study of breast-fed versus formula-fed infants,"ERS075404,ERS075405,ERS075406,ERS075407,ERS075408,ERS075409,ERS075410,ERS075411,ERS075412,ERS075413,ERS075414,ERS075415"
MGYS00000307,38,PRJEB3206,ERP001706,"Healthy adult controls and patients affected by ileocolic Crohn’s disease from Valencia (Spain) were examined for their viral and microbial communities from feces and, in one additional case, present in the intestinal tissue. The taxonomical and functional analyses on unassembled and assembled sequence reads, following two different approaches allows as to compare the viral and microbial communities between both groups in study in several ways. For example we compared by group (controls vs patients), by entity (viruses vs bacteria), by reads assembly (assembled vs unassembled reads) and by methodology (our approach vs an existing pipeline). ",Crohn's Disease viral and microbial metagenome,"ERS161373,ERS161374,ERS161375,ERS161376,ERS161377,ERS161378,ERS161379,ERS161380,ERS161381,ERS161382,ERS161383,ERS161384,ERS161385,ERS161386,ERS161387,ERS161388,ERS161389,ERS161390,ERS161391,ERS161392,ERS161393,ERS161394,ERS161395,ERS161396,ERS161397"
MGYS00000308,32,PRJEB3227,ERP001739,"Irritable bowel syndrome (IBS) is the most common functional gastrointestinal disorder in western countries. The definition and treatment of IBS is challenging due to its largely unknown aetiology and the variety of symptoms it can present. Previous studies on IBS suggest subtle alterations in the composition of intestinal microbiota. However, no consensus has been reached regarding the association between specific bacteria and IBS. To overcome the confusion introduced by inter-subject variability and heterogeneity within IBS that is problematic in cross-sectional studies, we undertook a longitudinal study that allowed us to compare samples from single patients at moments with different type and/or severity of symptoms. We present results for two IBS patients with diarrhoea subtype and the healthy relative of one of them. Faecal samples collected every two days the first week and then weekly over two months were analysed through metagenomic and metatranscriptomic approaches. Overall, we detect a greater instability of faecal microbiota in IBS patients when compared to the control, and even larger instability associated with acute diarrheoa. Bacterial composition and encoded functions were fairly stable throughout. On the contrary, the fraction of active bacteria varied markedly in time. Strong and quick compositional shifts were associated with relapse, although with low reproducibility between and within patients. Similarly, changes in the global pattern of gene expression characterized days of worsening, but we could not identify genes or functions associated with relapse. Our results confirm that the association of microbiota with IBS is rather weak.",Follow-up of faecal microbiota in IBS patients,"ERS167143,ERS167144,ERS167145,ERS167139,ERS167150,ERS167168,ERS167146,ERS167147,ERS167162,ERS167159,ERS167166,ERS167163,ERS167149,ERS167148,ERS167152,ERS167137,ERS167138,ERS167140,ERS167141,ERS167142,ERS167151,ERS167153,ERS167154,ERS167155,ERS167156"
